gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	regulation
ENSG00000229239	2	4	5	0	0	0	0	0	UP
ENSG00000142676	36597	53836	27492	6436	19085	19282	39757	26020	UP
ENSG00000011007	1346	3519	2130	493	562	1602	4287	3070	UP
ENSG00000236810	34	46	16	5	13	7	30	20	UP
ENSG00000057757	1373	3368	2454	578	2731	1946	3194	2059	UP
ENSG00000011009	1606	3911	2380	538	517	1155	2074	1565	UP
ENSG00000117308	200	361	153	38	220	61	251	180	UP
ENSG00000117305	719	1348	506	124	203	317	431	305	UP
ENSG00000179163	324	843	609	151	583	262	846	653	UP
ENSG00000188822	6700	4659	2180	476	2176	1923	2105	1605	UP
ENSG00000229106	498	257	130	31	211	208	123	128	UP
ENSG00000232557	4	12	3	1	4	2	7	2	UP
ENSG00000189266	6569	11850	5347	1263	4698	4540	8751	5885	UP
ENSG00000188529	20028	19162	16438	3862	8445	9289	21241	14445	UP
ENSG00000142677	2	11	6	2	6	4	9	3	UP
ENSG00000185436	2009	7328	1595	359	898	1704	2984	2275	UP
ENSG00000230023	2	1	0	0	0	0	0	0	UP
ENSG00000158055	2	13	4	0	2	0	4	2	UP
ENSG00000001460	179	352	116	33	102	143	206	184	UP
ENSG00000001461	1303	2078	462	114	353	590	717	559	UP
ENSG00000117602	969	1594	725	170	365	1260	1184	835	UP
ENSG00000133226	8908	12248	6493	1554	4061	6203	10671	7837	UP
ENSG00000169504	3292	13458	6999	1576	3468	1542	6367	4877	UP
ENSG00000020633	5257	14583	11699	2603	6341	5922	6316	4699	UP
ENSG00000278034	6	8	5	3	7	4	3	1	UP
ENSG00000229162	53	105	42	11	16	14	16	7	UP
ENSG00000261025	1	0	2	0	1	1	0	0	UP
ENSG00000231953	8	2	1	0	9	5	0	0	UP
ENSG00000117614	3013	3294	1903	496	1577	1687	2511	1676	UP
ENSG00000117616	7905	14448	13421	3087	20324	11134	8937	6109	UP
ENSG00000272432	13	29	19	1	14	4	14	10	UP
ENSG00000261349	168	0	71	17	50	78	57	47	UP
ENSG00000187010	110	12	159	41	135	133	91	87	UP
ENSG00000224183	12	1	6	2	26	11	7	4	UP
ENSG00000259984	17	37	39	9	13	35	20	11	UP
ENSG00000183726	2079	4700	3231	739	990	1893	3716	2590	UP
ENSG00000188672	9	8	175	56	24	10	8	6	UP
ENSG00000204178	1427	3041	1888	453	1505	1728	2735	1881	UP
ENSG00000157978	1236	1412	405	105	216	860	358	312	UP
ENSG00000225643	21	34	4	0	16	14	16	13	UP
ENSG00000117643	76	150	12	12	74	236	69	33	UP
ENSG00000233478	8	6	3	0	4	10	2	1	UP
ENSG00000162430	1221	1005	164	32	652	826	1189	958	UP
ENSG00000228172	16	9	6	1	3	3	2	2	UP
ENSG00000117640	1104	1270	646	148	348	305	632	447	UP
